Transaction_Text,Label
Mutual fund SIP - INR 42575 - Ref 276731,Investment
Cafe coffee purchase - INR 27591 - Ref 398114,Food
Bike loan EMI - INR 33404 - Ref 279264,EMI
Bike loan EMI - INR 22829 - Ref 431484,EMI
Share trading debit - INR 10991 - Ref 540728,Investment
Consumer durable EMI - INR 37039 - Ref 164174,EMI
Flight ticket booking - INR 7098 - Ref 330570,Travel
Amazon online shopping - INR 25745 - Ref 737052,Shopping
Uber ride payment - INR 7754 - Ref 493633,Travel
KFC online order - INR 14598 - Ref 670913,Food
NPS contribution - INR 36206 - Ref 378331,Investment
Fixed deposit investment - INR 34800 - Ref 924369,Investment
IRCTC train ticket - INR 23526 - Ref 841953,Travel
Mobile EMI payment - INR 1726 - Ref 874079,EMI
Appliance EMI - INR 43605 - Ref 604095,EMI
Fixed deposit investment - INR 44699 - Ref 665877,Investment
Home loan EMI - INR 28086 - Ref 145622,EMI
Credit card EMI - INR 42239 - Ref 719748,EMI
Consumer durable EMI - INR 26567 - Ref 179646,EMI
Lifestyle store purchase - INR 27421 - Ref 904154,Shopping
Electronics purchase - INR 26850 - Ref 888158,Shopping
Dominos pizza order - INR 4697 - Ref 456250,Food
Rapido bike ride - INR 1918 - Ref 187568,Travel
Restaurant dine-in bill - INR 44652 - Ref 477872,Food
Uber ride payment - INR 26970 - Ref 409929,Travel
Credit card EMI - INR 44603 - Ref 709333,EMI
NPS contribution - INR 23323 - Ref 816553,Investment
Electronics purchase - INR 3038 - Ref 175577,Shopping
Fixed deposit investment - INR 41888 - Ref 282154,Investment
MakeMyTrip travel booking - INR 46320 - Ref 439200,Travel
Hotel stay booking - INR 48847 - Ref 509943,Travel
Laptop EMI payment - INR 22693 - Ref 266886,EMI
Grocery food items - INR 5780 - Ref 152671,Food
Car loan EMI - INR 20974 - Ref 973833,EMI
Credit card EMI - INR 22100 - Ref 158758,EMI
Retail store shopping - INR 38347 - Ref 810695,Shopping
Uber ride payment - INR 3294 - Ref 983593,Travel
MakeMyTrip travel booking - INR 5024 - Ref 690510,Travel
McDonald's meal payment - INR 36286 - Ref 583822,Food
Electronics purchase - INR 45841 - Ref 737866,Shopping
eBay online order - INR 16703 - Ref 635044,Shopping
Demat account transfer - INR 520 - Ref 339086,Investment
Dominos pizza order - INR 24279 - Ref 236429,Food
Grocery food items - INR 24997 - Ref 748619,Food
Car loan EMI - INR 44675 - Ref 487601,EMI
McDonald's meal payment - INR 14572 - Ref 728401,Food
Demat account transfer - INR 26739 - Ref 978749,Investment
Ola cab booking - INR 26443 - Ref 494833,Travel
Retail store shopping - INR 6872 - Ref 722354,Shopping
PPF contribution - INR 25271 - Ref 549195,Investment
Cafe coffee purchase - INR 18188 - Ref 593099,Food
Fixed deposit investment - INR 37243 - Ref 893903,Investment
McDonald's meal payment - INR 33492 - Ref 222418,Food
Personal loan EMI - INR 20458 - Ref 307362,EMI
Laptop EMI payment - INR 46675 - Ref 767777,EMI
Share trading debit - INR 17414 - Ref 167248,Investment
Consumer durable EMI - INR 1581 - Ref 101895,EMI
Lifestyle store purchase - INR 20484 - Ref 504272,Shopping
McDonald's meal payment - INR 39386 - Ref 180403,Food
Grocery food items - INR 35121 - Ref 416617,Food
Uber ride payment - INR 25442 - Ref 515917,Travel
Uber ride payment - INR 33499 - Ref 681448,Travel
Ajio clothing purchase - INR 30768 - Ref 702187,Shopping
Mobile EMI payment - INR 20179 - Ref 647354,EMI
Credit card EMI - INR 27650 - Ref 604173,EMI
Bakery purchase - INR 35376 - Ref 388394,Food
Laptop EMI payment - INR 41521 - Ref 435233,EMI
Supermarket shopping - INR 45431 - Ref 426818,Shopping
Home loan EMI - INR 47376 - Ref 888074,EMI
Flight ticket booking - INR 49151 - Ref 557373,Travel
Education loan EMI - INR 14589 - Ref 353461,EMI
ETF purchase - INR 41579 - Ref 366275,Investment
Supermarket shopping - INR 30026 - Ref 330626,Shopping
Electronics purchase - INR 22372 - Ref 942859,Shopping
Swiggy order payment - INR 38366 - Ref 105602,Food
KFC online order - INR 21889 - Ref 637317,Food
Airport taxi fare - INR 25306 - Ref 301453,Travel
Ajio clothing purchase - INR 16068 - Ref 762429,Shopping
Demat account transfer - INR 1748 - Ref 913896,Investment
Fixed deposit investment - INR 43390 - Ref 607918,Investment
Ola cab booking - INR 13981 - Ref 203101,Travel
Bakery purchase - INR 27077 - Ref 875561,Food
ETF purchase - INR 13920 - Ref 382472,Investment
Gold bond investment - INR 40816 - Ref 201314,Investment
Ajio clothing purchase - INR 25868 - Ref 338864,Shopping
Dominos pizza order - INR 24371 - Ref 893907,Food
MakeMyTrip travel booking - INR 15765 - Ref 265879,Travel
ETF purchase - INR 29485 - Ref 759909,Investment
Ajio clothing purchase - INR 42098 - Ref 392132,Shopping
KFC online order - INR 24663 - Ref 406844,Food
Stock market investment - INR 19118 - Ref 861236,Investment
Ajio clothing purchase - INR 41318 - Ref 346890,Shopping
Stock market investment - INR 16712 - Ref 576141,Investment
Bike loan EMI - INR 43073 - Ref 667594,EMI
Ola cab booking - INR 38412 - Ref 374136,Travel
Laptop EMI payment - INR 3963 - Ref 862331,EMI
NPS contribution - INR 14843 - Ref 999736,Investment
IRCTC train ticket - INR 8731 - Ref 945814,Travel
Laptop EMI payment - INR 48337 - Ref 518971,EMI
Consumer durable EMI - INR 12960 - Ref 557943,EMI
Bike loan EMI - INR 39316 - Ref 995533,EMI
IRCTC train ticket - INR 43642 - Ref 262270,Travel
Ola cab booking - INR 36986 - Ref 160608,Travel
Demat account transfer - INR 29012 - Ref 913360,Investment
Supermarket shopping - INR 13564 - Ref 248569,Shopping
Uber ride payment - INR 6842 - Ref 604727,Travel
Ola cab booking - INR 6457 - Ref 147247,Travel
eBay online order - INR 35298 - Ref 738914,Shopping
Rapido bike ride - INR 14955 - Ref 666725,Travel
Supermarket shopping - INR 7467 - Ref 258234,Shopping
Appliance EMI - INR 12439 - Ref 622209,EMI
Fixed deposit investment - INR 43584 - Ref 249133,Investment
Airport taxi fare - INR 3902 - Ref 314660,Travel
Retail store shopping - INR 39412 - Ref 490800,Shopping
Laptop EMI payment - INR 9300 - Ref 505045,EMI
Flight ticket booking - INR 28528 - Ref 748310,Travel
Dominos pizza order - INR 20020 - Ref 926954,Food
Laptop EMI payment - INR 18944 - Ref 998513,EMI
Grocery food items - INR 46539 - Ref 892286,Food
Retail store shopping - INR 4167 - Ref 158192,Shopping
Personal loan EMI - INR 9007 - Ref 413456,EMI
Airport taxi fare - INR 2409 - Ref 116311,Travel
Electronics purchase - INR 44389 - Ref 788156,Shopping
Supermarket shopping - INR 8570 - Ref 746062,Shopping
Dominos pizza order - INR 43618 - Ref 373039,Food
McDonald's meal payment - INR 23972 - Ref 601625,Food
Bus ticket purchase - INR 9567 - Ref 199625,Travel
Supermarket shopping - INR 22728 - Ref 703616,Shopping
Fixed deposit investment - INR 6530 - Ref 904888,Investment
Bike loan EMI - INR 27853 - Ref 173888,EMI
Zomato food delivery - INR 38306 - Ref 865021,Food
Laptop EMI payment - INR 6698 - Ref 698610,EMI
Ajio clothing purchase - INR 37705 - Ref 304479,Shopping
PPF contribution - INR 26665 - Ref 411308,Investment
Mobile EMI payment - INR 42200 - Ref 316040,EMI
Bike loan EMI - INR 28748 - Ref 381877,EMI
KFC online order - INR 901 - Ref 383564,Food
Personal loan EMI - INR 33621 - Ref 860086,EMI
Lifestyle store purchase - INR 19000 - Ref 806250,Shopping
Lifestyle store purchase - INR 24936 - Ref 628327,Shopping
Hotel stay booking - INR 20621 - Ref 728226,Travel
IRCTC train ticket - INR 20819 - Ref 717276,Travel
Bakery purchase - INR 11553 - Ref 662395,Food
Grocery food items - INR 40914 - Ref 155668,Food
Swiggy order payment - INR 47380 - Ref 954389,Food
Appliance EMI - INR 9009 - Ref 624251,EMI
IRCTC train ticket - INR 2597 - Ref 878198,Travel
Demat account transfer - INR 1814 - Ref 974277,Investment
Electronics purchase - INR 16999 - Ref 515488,Shopping
Bus ticket purchase - INR 5613 - Ref 508637,Travel
Myntra fashion order - INR 7320 - Ref 122242,Shopping
Education loan EMI - INR 21899 - Ref 348368,EMI
Gold bond investment - INR 7369 - Ref 603587,Investment
Restaurant dine-in bill - INR 47502 - Ref 331445,Food
Bakery purchase - INR 42863 - Ref 474273,Food
PPF contribution - INR 8631 - Ref 488210,Investment
Hotel stay booking - INR 11356 - Ref 623298,Travel
Swiggy order payment - INR 4475 - Ref 579254,Food
MakeMyTrip travel booking - INR 31588 - Ref 516065,Travel
Airport taxi fare - INR 291 - Ref 699320,Travel
Mobile EMI payment - INR 2457 - Ref 316095,EMI
NPS contribution - INR 8217 - Ref 626220,Investment
McDonald's meal payment - INR 16730 - Ref 179209,Food
Dominos pizza order - INR 44078 - Ref 736896,Food
Restaurant dine-in bill - INR 17858 - Ref 623061,Food
Lifestyle store purchase - INR 25426 - Ref 652249,Shopping
Fixed deposit investment - INR 3081 - Ref 644786,Investment
Amazon online shopping - INR 17234 - Ref 845241,Shopping
ETF purchase - INR 18114 - Ref 325223,Investment
Mobile EMI payment - INR 10055 - Ref 227858,EMI
Demat account transfer - INR 37364 - Ref 917200,Investment
Personal loan EMI - INR 12365 - Ref 967685,EMI
Fixed deposit investment - INR 36152 - Ref 797579,Investment
Bakery purchase - INR 35553 - Ref 277812,Food
Dominos pizza order - INR 29198 - Ref 987210,Food
Car loan EMI - INR 40818 - Ref 370422,EMI
Personal loan EMI - INR 32410 - Ref 959604,EMI
Gold bond investment - INR 1373 - Ref 169455,Investment
Retail store shopping - INR 37218 - Ref 400366,Shopping
Stock market investment - INR 6946 - Ref 336884,Investment
Appliance EMI - INR 10587 - Ref 640371,EMI
Bike loan EMI - INR 8800 - Ref 894850,EMI
Hotel dinner bill - INR 43520 - Ref 964177,Food
Myntra fashion order - INR 24801 - Ref 315587,Shopping
Flipkart purchase - INR 23673 - Ref 584355,Shopping
Consumer durable EMI - INR 14961 - Ref 511261,EMI
ETF purchase - INR 7379 - Ref 895832,Investment
Zomato food delivery - INR 48824 - Ref 262478,Food
Hotel stay booking - INR 30097 - Ref 130988,Travel
KFC online order - INR 25891 - Ref 808552,Food
Grocery food items - INR 32963 - Ref 142070,Food
KFC online order - INR 42508 - Ref 650088,Food
Consumer durable EMI - INR 10508 - Ref 692589,EMI
Education loan EMI - INR 10927 - Ref 913102,EMI
Laptop EMI payment - INR 2527 - Ref 143243,EMI
Gold bond investment - INR 23235 - Ref 142911,Investment
Grocery food items - INR 855 - Ref 326523,Food
Rapido bike ride - INR 11412 - Ref 632827,Travel
Laptop EMI payment - INR 38200 - Ref 167670,EMI
Retirement fund investment - INR 21582 - Ref 943569,Investment
Mall shopping payment - INR 44886 - Ref 250718,Shopping
Lifestyle store purchase - INR 5292 - Ref 412235,Shopping
Retail store shopping - INR 666 - Ref 358532,Shopping
NPS contribution - INR 35804 - Ref 386880,Investment
NPS contribution - INR 23535 - Ref 898398,Investment
Swiggy order payment - INR 6438 - Ref 166135,Food
Credit card EMI - INR 18916 - Ref 438981,EMI
McDonald's meal payment - INR 48501 - Ref 150170,Food
Metro card recharge - INR 49156 - Ref 755763,Travel
ETF purchase - INR 49973 - Ref 859097,Investment
Metro card recharge - INR 21919 - Ref 960884,Travel
Amazon online shopping - INR 7817 - Ref 344366,Shopping
eBay online order - INR 17177 - Ref 957614,Shopping
ETF purchase - INR 26501 - Ref 370135,Investment
ETF purchase - INR 26994 - Ref 299603,Investment
Home loan EMI - INR 19148 - Ref 832299,EMI
Share trading debit - INR 23596 - Ref 132504,Investment
Consumer durable EMI - INR 47774 - Ref 897824,EMI
Uber ride payment - INR 16498 - Ref 570248,Travel
Uber ride payment - INR 4443 - Ref 997122,Travel
Consumer durable EMI - INR 4954 - Ref 837870,EMI
Flipkart purchase - INR 15630 - Ref 633420,Shopping
Mall shopping payment - INR 32341 - Ref 983440,Shopping
Rapido bike ride - INR 48031 - Ref 343292,Travel
Bike loan EMI - INR 8339 - Ref 872527,EMI
Zomato food delivery - INR 45860 - Ref 424975,Food
Appliance EMI - INR 36913 - Ref 613501,EMI
MakeMyTrip travel booking - INR 9009 - Ref 988459,Travel
Home loan EMI - INR 620 - Ref 104742,EMI
Electronics purchase - INR 10810 - Ref 391840,Shopping
NPS contribution - INR 6755 - Ref 428998,Investment
Myntra fashion order - INR 12428 - Ref 997569,Shopping
Hotel dinner bill - INR 39043 - Ref 215113,Food
NPS contribution - INR 30773 - Ref 301571,Investment
Demat account transfer - INR 18048 - Ref 572216,Investment
Zomato food delivery - INR 16128 - Ref 507882,Food
Retail store shopping - INR 25153 - Ref 290837,Shopping
Hotel dinner bill - INR 46698 - Ref 602471,Food
KFC online order - INR 39788 - Ref 728626,Food
Home loan EMI - INR 20933 - Ref 265642,EMI
Bike loan EMI - INR 33986 - Ref 563007,EMI
Swiggy order payment - INR 47542 - Ref 235362,Food
Personal loan EMI - INR 6901 - Ref 861967,EMI
ETF purchase - INR 2999 - Ref 620156,Investment
Swiggy order payment - INR 5858 - Ref 732014,Food
Myntra fashion order - INR 2099 - Ref 327984,Shopping
PPF contribution - INR 36434 - Ref 799320,Investment
Supermarket shopping - INR 7762 - Ref 847888,Shopping
Fixed deposit investment - INR 16859 - Ref 243640,Investment
Stock market investment - INR 26310 - Ref 115519,Investment
Restaurant dine-in bill - INR 49498 - Ref 963846,Food
Personal loan EMI - INR 13233 - Ref 268730,EMI
Gold bond investment - INR 15009 - Ref 509787,Investment
Demat account transfer - INR 44199 - Ref 412618,Investment
Laptop EMI payment - INR 42975 - Ref 927038,EMI
Mall shopping payment - INR 37160 - Ref 712861,Shopping
Supermarket shopping - INR 42413 - Ref 326928,Shopping
Restaurant dine-in bill - INR 40743 - Ref 536682,Food
Car loan EMI - INR 7918 - Ref 649125,EMI
Metro card recharge - INR 44952 - Ref 716208,Travel
Credit card EMI - INR 19402 - Ref 319361,EMI
McDonald's meal payment - INR 17172 - Ref 280671,Food
Demat account transfer - INR 3548 - Ref 240548,Investment
Retirement fund investment - INR 1166 - Ref 237825,Investment
Mutual fund SIP - INR 40124 - Ref 608520,Investment
ETF purchase - INR 2790 - Ref 631048,Investment
Amazon online shopping - INR 40226 - Ref 239707,Shopping
Grocery food items - INR 7926 - Ref 993490,Food
Gold bond investment - INR 47158 - Ref 612700,Investment
Flipkart purchase - INR 19230 - Ref 969033,Shopping
IRCTC train ticket - INR 41309 - Ref 838780,Travel
Mutual fund SIP - INR 12012 - Ref 896190,Investment
Zomato food delivery - INR 5506 - Ref 645744,Food
Stock market investment - INR 41047 - Ref 372624,Investment
Mutual fund SIP - INR 26753 - Ref 252305,Investment
Restaurant dine-in bill - INR 44533 - Ref 263087,Food
Metro card recharge - INR 42778 - Ref 676296,Travel
PPF contribution - INR 11314 - Ref 708838,Investment
Retail store shopping - INR 48381 - Ref 890950,Shopping
Personal loan EMI - INR 3605 - Ref 240533,EMI
Fixed deposit investment - INR 30670 - Ref 259237,Investment
Retirement fund investment - INR 5811 - Ref 662897,Investment
Swiggy order payment - INR 6604 - Ref 630226,Food
Car loan EMI - INR 12046 - Ref 691212,EMI
Supermarket shopping - INR 5084 - Ref 276157,Shopping
Restaurant dine-in bill - INR 6141 - Ref 486350,Food
PPF contribution - INR 9395 - Ref 381199,Investment
Gold bond investment - INR 31288 - Ref 447448,Investment
MakeMyTrip travel booking - INR 38160 - Ref 213282,Travel
Mobile EMI payment - INR 17791 - Ref 226753,EMI
Appliance EMI - INR 27503 - Ref 493814,EMI
Airport taxi fare - INR 20587 - Ref 909651,Travel
Personal loan EMI - INR 45654 - Ref 340449,EMI
Bakery purchase - INR 25298 - Ref 894313,Food
Zomato food delivery - INR 4826 - Ref 402941,Food
Car loan EMI - INR 35769 - Ref 992160,EMI
MakeMyTrip travel booking - INR 43865 - Ref 557741,Travel
Restaurant dine-in bill - INR 49950 - Ref 949608,Food
NPS contribution - INR 20507 - Ref 199501,Investment
